fips,cofips,tract,county,state,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
12086000128,12086,Census Tract 1.28,Miami-Dade County,Florida,2012,observed,3.0,0.94,3.0,0.94,3.0,0.94
12086001002,12086,Census Tract 10.02,Miami-Dade County,Florida,2012,observed,68.0,9.37,67.0,9.23,62.0,8.54
12086014200,12086,Census Tract 142,Miami-Dade County,Florida,2012,observed,2.0,0.99,2.0,0.99,2.0,0.99
12086018500,12086,Census Tract 185,Miami-Dade County,Florida,2012,observed,40.0,4.66,40.0,4.66,35.0,4.07
12086008306,12086,Census Tract 83.06,Miami-Dade County,Florida,2012,observed,16.0,2.64,16.0,2.64,15.0,2.48
12086011008,12086,Census Tract 110.08,Miami-Dade County,Florida,2012,observed,13.0,2.05,13.0,2.05,12.0,1.9
12086008901,12086,Census Tract 89.01,Miami-Dade County,Florida,2012,observed,10.0,2.23,10.0,2.23,10.0,2.23
12086009306,12086,Census Tract 93.06,Miami-Dade County,Florida,2012,observed,11.0,1.35,11.0,1.35,9.0,1.11
12086006602,12086,Census Tract 66.02,Miami-Dade County,Florida,2012,observed,40.0,2.04,40.0,2.04,39.0,1.99
12086006706,12086,Census Tract 67.06,Miami-Dade County,Florida,2012,observed,1.0,0.16,1.0,0.16,1.0,0.16
12086016500,12086,Census Tract 165,Miami-Dade County,Florida,2012,observed,8.0,4.06,8.0,4.06,8.0,4.06
12086010011,12086,Census Tract 100.11,Miami-Dade County,Florida,2012,observed,67.0,4.99,67.0,4.99,63.0,4.69
12086007702,12086,Census Tract 77.02,Miami-Dade County,Florida,2012,observed,13.0,2.75,13.0,2.75,13.0,2.75
12086009040,12086,Census Tract 90.40,Miami-Dade County,Florida,2012,observed,6.0,60.0,6.0,60.0,6.0,60.0
12086010500,12086,Census Tract 105,Miami-Dade County,Florida,2012,observed,54.0,3.99,53.0,3.91,52.0,3.84
12086003909,12086,Census Tract 39.09,Miami-Dade County,Florida,2012,observed,16.0,2.36,16.0,2.36,16.0,2.36
12086010612,12086,Census Tract 106.12,Miami-Dade County,Florida,2012,observed,24.0,2.85,24.0,2.85,23.0,2.73
12086007103,12086,Census Tract 71.03,Miami-Dade County,Florida,2012,observed,3.0,0.57,3.0,0.57,3.0,0.57
12086013900,12086,Census Tract 139,Miami-Dade County,Florida,2012,observed,7.0,2.73,7.0,2.73,7.0,2.73
12086004206,12086,Census Tract 42.06,Miami-Dade County,Florida,2012,observed,9.0,1.45,9.0,1.45,9.0,1.45
12086000132,12086,Census Tract 1.32,Miami-Dade County,Florida,2012,observed,5.0,0.45,5.0,0.45,4.0,0.36
12086005302,12086,Census Tract 53.02,Miami-Dade County,Florida,2012,observed,146.0,5.53,145.0,5.49,141.0,5.34
12086019600,12086,Census Tract 196,Miami-Dade County,Florida,2012,observed,3.0,1.43,3.0,1.43,3.0,1.43
12086015800,12086,Census Tract 158,Miami-Dade County,Florida,2012,observed,9.0,2.61,9.0,2.61,8.0,2.32
12086009703,12086,Census Tract 97.03,Miami-Dade County,Florida,2012,observed,8.0,7.41,7.0,6.48,7.0,6.48
12086003601,12086,Census Tract 36.01,Miami-Dade County,Florida,2012,observed,55.0,3.71,51.0,3.44,47.0,3.17
12086003918,12086,Census Tract 39.18,Miami-Dade County,Florida,2012,observed,21.0,2.31,21.0,2.31,19.0,2.09
12086011005,12086,Census Tract 110.05,Miami-Dade County,Florida,2012,observed,7.0,1.94,7.0,1.94,7.0,1.94
12086015700,12086,Census Tract 157,Miami-Dade County,Florida,2012,observed,4.0,4.3,4.0,4.3,4.0,4.3
12086007300,12086,Census Tract 73,Miami-Dade County,Florida,2012,observed,2.0,0.84,2.0,0.84,1.0,0.42
12086990000,12086,Census Tract 9900,Miami-Dade County,Florida,2012,observed,,,,,,
12086001803,12086,Census Tract 18.03,Miami-Dade County,Florida,2012,observed,85.0,8.17,82.0,7.88,76.0,7.31
12086009905,12086,Census Tract 99.05,Miami-Dade County,Florida,2012,observed,12.0,5.22,12.0,5.22,12.0,5.22
12086016100,12086,Census Tract 161,Miami-Dade County,Florida,2012,observed,5.0,2.89,4.0,2.31,4.0,2.31
12086000121,12086,Census Tract 1.21,Miami-Dade County,Florida,2012,observed,2.0,0.97,2.0,0.97,2.0,0.97
12086005904,12086,Census Tract 59.04,Miami-Dade County,Florida,2012,observed,13.0,3.27,13.0,3.27,12.0,3.02
12086003803,12086,Census Tract 38.03,Miami-Dade County,Florida,2012,observed,9.0,1.47,8.0,1.31,8.0,1.31
12086007503,12086,Census Tract 75.03,Miami-Dade County,Florida,2012,observed,,,,,,
12086010704,12086,Census Tract 107.04,Miami-Dade County,Florida,2012,observed,31.0,3.22,31.0,3.22,30.0,3.12
12086007400,12086,Census Tract 74,Miami-Dade County,Florida,2012,observed,5.0,1.07,5.0,1.07,5.0,1.07
12086017500,12086,Census Tract 175,Miami-Dade County,Florida,2012,observed,9.0,1.19,9.0,1.19,7.0,0.92
12086019500,12086,Census Tract 195,Miami-Dade County,Florida,2012,observed,11.0,4.33,11.0,4.33,11.0,4.33
12086005502,12086,Census Tract 55.02,Miami-Dade County,Florida,2012,observed,24.0,1.5,24.0,1.5,24.0,1.5
12086017400,12086,Census Tract 174,Miami-Dade County,Florida,2012,observed,14.0,1.84,14.0,1.84,12.0,1.57
12086980100,12086,Census Tract 9801,Miami-Dade County,Florida,2012,observed,,,,,,
12086000402,12086,Census Tract 4.02,Miami-Dade County,Florida,2012,observed,17.0,4.74,17.0,4.74,17.0,4.74
