Name ,Percent Below Poverty Line
Bal Harbour,14.50%
Country Club,19.70%
Golden Glades,23.60%
Hialeah Gardens,18.10%
Ives Estates,16.50%
Miami Lakes,
Ojus,15.90%
South Miami,13.30%
Sunny Isles Beach,15.80%
Sunset,8.40%
University Park ,16.20%
